Tweets	Compound	Analysis
Being vaccinated does not make us invincible before the coronavirus. I have a great luck to have already received the vaccine, p ... 	0.6675	Positive
Full and detailed infographic about vaccines and Covid-19. Thanks to those who have made it possible. Congratulations… 	0.4404	Positive
. It will ask Health to prioritize the vaccine for teachers and security bodies. 	0.34	Positive
Both workers and the people of AFA Aljarafe have already received the first dose of the vaccine against the ... 	0.0	Neutral
Day after the second dose. #pfizer # covid19 #vacunas #pandemia #chuac #sergas 	0.0	Neutral
That lady with if she knows so much I do not know because she is not in medicine dedicating some vaccines to make the residence ... 	0.0	Neutral
But for you to want to spend 11 million ... it is not vaccines and vaccinate at the US and GB rhythm. 	0.0772	Positive
The government studies direct injections to #pymes and # autonomous for five months destined to hold business v ... 	0.0	Neutral
"""According to Real Life Study, Astrazeneca vaccine, Chadox1, reduces hospitalization by Covid-19 at 94% in ... "	0.0	Neutral
Tomorrow I get emptied against the coronavirus. I think I play the Astrazeneca vaccine at H.E.E Isabel Zendal. Some ... 	0.1779	Positive
Excellent Madrid pharmacy and explanation about vaccines. 	0.5719	Positive
Now I understand why Pfizer was in a hurry to get the vaccine. 	0.0	Neutral
the next generation of covid-19 vaccines 	0.0	Neutral
It touched be part of the essay that is to receive the vaccine. # Covid19 #Astrazeneca #covidfree #farma 	0.0	Neutral
And in the middle of so much noise .... today the #EMA European Medication Agency approves the fourth vaccine # Covid19 # Janssen ... 	0.4019	Positive
# Latehora | Denmark suspends vaccination with astrazeneca by possible thrombose effects. # Coronavirus ... 	0.0	Neutral
Europe approves Janssen vaccine, the first of a single dose against # Covid19 	0.4019	Positive
European Medicine Agency recommends extending a marketing authorization to the Janssen vaccine with ... 	0.2263	Positive
With the Green Light of the Commission, the catalog of vaccines against # Covid19 available in the EU will be expanded to 4 	0.0	Neutral
Europe authorizes Janssen's monodose vaccine: Is it better than those that we already have? via 	0.4404	Positive
➡️ A very important step in the vaccination strategy. ✅Jansen, new authorized vaccine. ... 	0.2716	Positive
The first monodode vaccine against Coronavirus EMA arrives authorizes the Johnson & AMP vaccine; Johnson. 	0.0	Neutral
Austria paralyzes a lot of vaccines of #Astrazeneca while investigating the death of a 49-year-old woman and the case ... 	-0.5994	Negative
Austria paralyzes a lot of vaccines ... 	0.0	Neutral
Another vaccine available. 	0.0	Neutral
I do not put this vaccine !!!! noooo #vacuna # covid19 #vacunacion 	0.0	Neutral
The best vaccine is what they put you. And as soon as possible, it's less ... a year later. # COVID19 	0.6369	Positive
Calm down! The _News according to appointment _health says that adverse events (clot formation) after the vaccine ... 	-0.126	Negative
Photos It starts at a test of the massive vaccination campaign of #astrazeneca in Galicia. ... 	0.0	Neutral
if something is clear, if you want to put me the astrazeneca vaccine my dose 	0.4404	Positive
Efficiency and side effects of the four vaccines approved against COVID-19 	0.6486	Positive
220Mil vaccines in the last 24 hours. the average goes up but we still follow with too many ups and downs 	0.0	Neutral
Lombardia is still a great disappointment and is on the tail as the number of vaccines supplied🤦♂️ 	0.2732	Positive
I'm shot from the hairs. 	0.0	Neutral
"It is already known that the ""virus-t"" a managed to reject 2 vaccines of #strazeneca #felizjuevaseatodos # covid19 "	-0.4019	Negative
pfizer fan account 	0.3182	Positive
Coronavirus: Latest news about the pandemic, vaccine and restrictions | direct 	0.0	Neutral
As to get vaccine. 	0.0	Neutral
olympics in japan thanks to chinese vaccines. another sign of our times... 	0.4404	Positive
Do coronavirus mutations affect the efficiency of vaccines? via _e. 	0.3612	Positive
❗Dinamarca, Austria and five other European countries suspend vaccination with astrazeneca due to deaths caused by ... 	-0.3182	Negative
The vaccine of mutual support that saved the neighborhoods of the abyss 	0.6705	Positive
Making numbers with large pencil, we have the vaccine put at 5% of the Valencian population. added to those who have already pat ... 	0.0	Neutral
By the way ,,,, No one has not resigned by the loss of 30,000 vaccines against the ... 	-0.4137	Negative
3 million and a half of vaccines supplied in Italy ... Those who have received double doses are 1.3 million 	0.0	Neutral
his name is michael caine.  he’s a fucking legend. many people know that! #takethevaccine… 	0.0	Neutral
For the divine vaccine no doses or waiting lists 	0.34	Positive
Interesting chart of Michelangelo Reinoso on evolution of vaccines by CCAA. 	0.4019	Positive
In the ABS Mont-roig we have already received the vaccines to start vaccinating large dependents, people in attention ... 	0.0	Neutral
Little thing, we keep looking for vaccine for your stupidity. without success at the moment 	-0.7094	Negative
#vaccinequity to ensure that vaccines # Covid19 are administered in all countries. #social justice… 	0.3818	Positive
Do what I preach but not what I do: the high Catholic clergy sneaks to receive the vaccine against the c ... 	0.0	Neutral
#Yomevacuna Thank you, #Cience. #CiencesExy #vaccineswork # Covid19 	0.3612	Positive
Let's see, I'm ready to put the coreavirus.Political vaccine, bishops, senior official and other people d ... 	0.3612	Positive
Postdata: I already received the 2 doses of the Pfizer vaccine against the Coronavirus 🦠 	0.0	Neutral
In: Spain: 3 weeks for the vaccine that can give a turn to the pandemic 	0.0	Neutral
From today second dose of the #pfizerbiontech vaccine against the # Covid19 set, it is necessary to continue with the precautions ... 	0.0	Neutral
my father put the first dose of the coreavirus vaccine this afternoon, eye 	0.0	Neutral
top 10 covid-19 papers february 13 treatment, vaccines etc 	0.2023	Positive
The professionals of the #capantjoanvilanova we put the 2nd dose of the vaccine against the # Covid19 🦠 2 doses - ... 	0.0	Neutral
I mean, we put the vaccine, but everything will continue the same ... 	0.0	Neutral
Vacconated 🦠 #astrazeneca #cambrils #vacuna # covid19 #lastofus # Lastofus2 # tension #pandemia # pandemic ... 	-0.3182	Negative
getting the vaccine this week is the equivalent of the exact amount of time you save up for a ps4 being enough for… 	0.4939	Positive
#Rusia negotiates with two Galician companies to produce the vaccine #SPUTNIK V in # Spain #Galicia # Covid19 ... 	0.0	Neutral
Then they will tell you that they had tried all the vaccines, when they need several years to analyze all the possibilities ... 	0.0	Neutral
15Mil new cases, 75 admitted to the ICU (and is a Monday). But the priority is to stop the Astra Zeneca vaccine ... 	-0.2023	Negative
Well, he hears no vaccine or anything, elections in Catalonia and in Madrid and the Coronavirus has disappeared. 🤦♀️. 	-0.25	Negative
#ultimahora astrazeneca 	0.0	Neutral
Spain paralyzes the administration of the AstraZeneca vaccine against the Covid-19 	0.0	Neutral
now spain  too... #astrazeneca 	0.0	Neutral
What happens now with those who have the 1st dose of inoculated in the absence of 2nd? #Dubte #astrazeneca # covid19 	0.0	Neutral
It is estimated that more than 17 million people have received the #Astrazeneca vaccine in the United Kingdom and the European Union #Coronavirus 	0.4215	Positive
yet there’s massive and actual proof that, every single day that passes w/o vaccines, many people die from covid19. 	-0.5994	Negative
Spain will temporarily suspend the administration of the coreavirus vaccine developed by the c ... 	-0.3182	Negative
Modern launches an essay to improve his vaccine against Covid-19 via 	0.4404	Positive
What is the probability that we die for Covid19 vs. thrombosis for vaccine? 	-0.5994	Negative
We continue without vaccines but if a lot of politics before Catalunya now Madrid Olé k will die the ugly ...... 	-0.8957	Negative
The Port Police♀️♂️ has received today the first dose of the # Covid19 vaccine, inside the campaign ... 	0.0	Neutral
About 2,000 civil guards receive the first dose of the # Covid19 vaccine at the # Regiundemurcia. ... 	0.0	Neutral
We accompany Joseph (84 years old), Manuel (87 years old) and Dámaso (83 years old), so they receive the vaccine against # Covid19 in ... 	0.0	Neutral
250 thousand vaccines in the last 24 hours! So, yes. Let's see if it is possible to maintain this level 	0.5081	Positive
It is likely that an extra dose of reinforcement of the vaccine # Covid19 in autumn is necessary to avoid another wave investment ... 	-0.296	Negative
